date,amount,price,sid,symbol,value
2018-09-17 23:59:59.999989+00:00,-100,221.58,0,ETH-USD,22158.0
2018-09-18 23:59:59.999989+00:00,100,197.1,0,ETH-USD,-19710.0
2018-09-19 23:59:59.999989+00:00,-100,209.47,0,ETH-USD,20947.0
2018-09-20 23:59:59.999989+00:00,100,210.29,0,ETH-USD,-21029.0
2018-09-21 23:59:59.999989+00:00,-100,225.25,0,ETH-USD,22525.0
2018-09-22 23:59:59.999989+00:00,100,247.34,0,ETH-USD,-24734.0
2018-09-23 23:59:59.999989+00:00,-100,240.99,0,ETH-USD,24099.0
2018-09-24 23:59:59.999989+00:00,100,244.84,0,ETH-USD,-24484.0
2018-10-29 23:59:59.999989+00:00,-100,205.17,0,ETH-USD,20517.0
2018-10-30 23:59:59.999989+00:00,100,197.2,0,ETH-USD,-19720.0
2018-10-31 23:59:59.999989+00:00,-100,197.65,0,ETH-USD,19765.0
2018-11-01 23:59:59.999989+00:00,100,197.54,0,ETH-USD,-19754.0
2018-11-02 23:59:59.999989+00:00,-100,198.98,0,ETH-USD,19898.0
2018-11-03 23:59:59.999989+00:00,100,200.74,0,ETH-USD,-20074.0
2018-11-04 23:59:59.999989+00:00,-100,200.16,0,ETH-USD,20016.0
2018-11-05 23:59:59.999989+00:00,100,207.1,0,ETH-USD,-20710.0
2018-11-19 23:59:59.999989+00:00,100,177.18,0,ETH-USD,-17718.0
2018-11-20 23:59:59.999989+00:00,-100,148.81,0,ETH-USD,14881.0
2018-11-21 23:59:59.999989+00:00,100,131.14,0,ETH-USD,-13113.999999999998
2018-11-22 23:59:59.999989+00:00,-100,136.81,0,ETH-USD,13681.0
2018-11-23 23:59:59.999989+00:00,100,126.42,0,ETH-USD,-12642.0
2018-11-24 23:59:59.999989+00:00,-100,123.3,0,ETH-USD,12330.0
2018-11-25 23:59:59.999989+00:00,100,113.13,0,ETH-USD,-11313.0
2018-11-26 23:59:59.999989+00:00,-100,116.34,0,ETH-USD,11634.0
2018-11-27 23:59:59.999989+00:00,-100,107.91,0,ETH-USD,10791.0
2018-11-28 23:59:59.999989+00:00,100,110.2,0,ETH-USD,-11020.0
2018-11-29 23:59:59.999989+00:00,-100,122.72,0,ETH-USD,12272.0
2018-11-30 23:59:59.999989+00:00,100,117.73,0,ETH-USD,-11773.0
2018-12-01 23:59:59.999989+00:00,-100,113.4,0,ETH-USD,11340.0
2018-12-02 23:59:59.999989+00:00,100,118.27,0,ETH-USD,-11827.0
2018-12-31 23:59:59.999989+00:00,100,140.03,0,ETH-USD,-14003.0
2019-01-01 23:59:59.999989+00:00,-100,133.42,0,ETH-USD,13341.999999999998
2019-01-02 23:59:59.999989+00:00,100,141.52,0,ETH-USD,-14152.000000000002
2019-01-03 23:59:59.999989+00:00,-100,155.2,0,ETH-USD,15519.999999999998
2019-01-04 23:59:59.999989+00:00,100,148.91,0,ETH-USD,-14891.0
2019-01-05 23:59:59.999989+00:00,-100,154.34,0,ETH-USD,15434.0
2019-01-06 23:59:59.999989+00:00,100,155.8,0,ETH-USD,-15580.000000000002
2019-01-07 23:59:59.999989+00:00,-100,157.81,0,ETH-USD,15781.0
2019-01-08 23:59:59.999989+00:00,100,151.97,0,ETH-USD,-15197.0
2019-01-09 23:59:59.999989+00:00,-100,150.55,0,ETH-USD,15055.000000000002
2019-01-10 23:59:59.999989+00:00,100,150.84,0,ETH-USD,-15084.0
2019-01-11 23:59:59.999989+00:00,-100,127.81,0,ETH-USD,12781.0
2019-01-12 23:59:59.999989+00:00,100,127.53,0,ETH-USD,-12753.0
2019-01-13 23:59:59.999989+00:00,-100,125.91,0,ETH-USD,12591.0
2019-01-28 23:59:59.999989+00:00,-100,113.29,0,ETH-USD,11329.0
2019-01-29 23:59:59.999989+00:00,100,106.72,0,ETH-USD,-10672.0
2019-01-30 23:59:59.999989+00:00,-100,105.41,0,ETH-USD,10541.0
2019-01-31 23:59:59.999989+00:00,100,108.9,0,ETH-USD,-10890.0
2019-02-01 23:59:59.999989+00:00,-100,107.15,0,ETH-USD,10715.0
2019-02-02 23:59:59.999989+00:00,100,107.47,0,ETH-USD,-10747.0
2019-02-03 23:59:59.999989+00:00,-100,110.49,0,ETH-USD,11049.0
2019-02-04 23:59:59.999989+00:00,100,107.63,0,ETH-USD,-10763.0
2019-02-11 23:59:59.999989+00:00,-100,124.87,0,ETH-USD,12487.0
2019-02-12 23:59:59.999989+00:00,100,121.18,0,ETH-USD,-12118.0
2019-02-13 23:59:59.999989+00:00,-100,122.54,0,ETH-USD,12254.0
2019-02-14 23:59:59.999989+00:00,100,122.42,0,ETH-USD,-12242.0
