DateTime,Close,Open,High,Low,Volume
08:50 20.05.22,1792.6,1796.7,1797.7,1791.6,479
08:55 20.05.22,1796.6,1792.6,1796.6,1791.7,348
09:00 20.05.22,1795.6,1796.6,1800.6,1795.6,1148
09:05 20.05.22,1798.6,1795.7,1800.6,1793.6,965
09:10 20.05.22,1799.7,1799.6,1802.6,1798.6,927
09:15 20.05.22,1804.6,1800.6,1805.6,1797.7,1416
09:20 20.05.22,1803.6,1803.7,1807.6,1801.6,836
09:25 20.05.22,1802.7,1803.6,1805.6,1802.7,695
09:30 20.05.22,1802.7,1802.7,1803.6,1800.6,759
09:35 20.05.22,1798.7,1802.7,1803.6,1798.7,517
09:40 20.05.22,1800.7,1798.6,1801.6,1797.7,580
09:45 20.05.22,1799.6,1801.7,1802.6,1798.6,467
09:50 20.05.22,1802.7,1798.7,1803.6,1798.6,531
09:55 20.05.22,1802.7,1802.7,1804.6,1801.6,340
10:00 20.05.22,1797.6,1802.6,1802.6,1795.6,442
10:05 20.05.22,1796.6,1798.6,1798.6,1796.6,310
10:10 20.05.22,1796.6,1796.6,1796.7,1793.7,490
10:15 20.05.22,1795.6,1796.6,1796.6,1794.7,314
10:20 20.05.22,1798.7,1795.6,1798.7,1795.6,386
10:25 20.05.22,1801.7,1799.7,1802.6,1799.7,387
10:30 20.05.22,1802.7,1801.7,1803.6,1801.6,459
10:35 20.05.22,1805.7,1802.7,1806.6,1802.6,497
10:40 20.05.22,1806.6,1805.7,1807.6,1804.6,501
10:45 20.05.22,1805.6,1806.6,1808.6,1805.6,586
10:50 20.05.22,1804.6,1805.6,1805.7,1802.7,704
10:55 20.05.22,1802.6,1804.7,1804.7,1802.6,271
11:00 20.05.22,1806.6,1802.6,1806.6,1802.6,363
11:05 20.05.22,1805.6,1806.6,1806.6,1804.6,449
11:10 20.05.22,1801.7,1805.6,1805.6,1801.6,353
11:15 20.05.22,1801.7,1801.7,1801.7,1800.6,297
11:20 20.05.22,1801.6,1802.6,1803.6,1801.6,388
11:25 20.05.22,1803.6,1801.7,1803.7,1801.6,292
11:30 20.05.22,1801.6,1803.6,1804.6,1800.6,341
11:35 20.05.22,1802.6,1800.6,1802.6,1800.6,180
11:40 20.05.22,1800.6,1802.6,1802.6,1800.6,215
11:45 20.05.22,1803.6,1801.6,1803.6,1800.6,317
11:50 20.05.22,1801.7,1803.7,1803.7,1801.6,245
11:55 20.05.22,1801.7,1801.7,1802.6,1801.7,222
12:00 20.05.22,1799.6,1801.6,1801.6,1798.6,401
12:05 20.05.22,1798.7,1798.7,1799.6,1797.7,292
12:10 20.05.22,1799.7,1798.7,1800.6,1798.7,311
12:15 20.05.22,1797.7,1799.6,1799.6,1796.6,326
12:20 20.05.22,1799.6,1797.7,1800.6,1797.7,272
12:25 20.05.22,1799.7,1799.6,1800.6,1798.7,226
12:30 20.05.22,1798.6,1799.6,1799.6,1797.7,138
12:35 20.05.22,1795.6,1798.6,1798.6,1795.6,244
12:40 20.05.22,1796.6,1796.7,1796.7,1795.6,332
12:45 20.05.22,1798.6,1796.6,1798.6,1796.6,238
12:50 20.05.22,1799.6,1798.7,1800.6,1798.7,317
12:55 20.05.22,1801.6,1800.6,1802.6,1800.6,256
13:00 20.05.22,1800.7,1801.6,1801.6,1800.6,278
13:05 20.05.22,1798.7,1800.7,1801.6,1797.7,295
13:10 20.05.22,1798.7,1798.7,1798.7,1797.7,250
13:15 20.05.22,1797.7,1798.6,1799.6,1797.7,132
13:20 20.05.22,1795.6,1797.6,1797.6,1795.6,182
13:25 20.05.22,1794.7,1794.6,1794.7,1793.6,275
13:30 20.05.22,1795.6,1795.7,1797.6,1795.6,356
13:35 20.05.22,1795.6,1795.6,1795.6,1794.7,119
13:40 20.05.22,1796.6,1795.6,1796.7,1795.6,185
13:45 20.05.22,1794.6,1796.6,1796.6,1794.6,173
13:50 20.05.22,1795.6,1794.6,1795.7,1794.6,92
13:55 20.05.22,1795.6,1795.6,1796.6,1794.6,267
14:00 20.05.22,1797.6,1795.6,1797.6,1794.7,475
14:05 20.05.22,1798.6,1798.6,1799.6,1798.6,270
14:10 20.05.22,1796.6,1798.6,1798.6,1796.6,311
14:15 20.05.22,1797.6,1796.6,1797.7,1796.6,230
14:20 20.05.22,1798.6,1797.6,1798.6,1797.6,196
14:25 20.05.22,1797.7,1798.6,1798.6,1797.7,228
14:30 20.05.22,1794.6,1798.6,1798.6,1794.6,441
14:35 20.05.22,1795.6,1794.6,1796.6,1794.6,191
14:40 20.05.22,1796.6,1795.7,1796.7,1795.6,217
14:45 20.05.22,1795.6,1796.6,1796.6,1795.6,200
14:50 20.05.22,1793.6,1795.6,1795.6,1792.6,525
14:55 20.05.22,1793.6,1792.7,1793.6,1789.6,491
15:00 20.05.22,1794.6,1793.6,1795.6,1793.6,495
15:05 20.05.22,1793.6,1794.6,1794.6,1793.6,320
15:10 20.05.22,1795.7,1792.6,1795.7,1791.6,457
15:15 20.05.22,1796.6,1795.6,1797.6,1795.6,346
15:20 20.05.22,1798.6,1797.6,1799.7,1797.6,509
15:25 20.05.22,1800.6,1798.6,1800.6,1798.6,553
15:30 20.05.22,1798.6,1800.7,1803.6,1797.6,1106
15:35 20.05.22,1801.6,1797.7,1801.7,1796.7,855
15:40 20.05.22,1803.6,1800.6,1803.6,1800.6,803
15:45 20.05.22,1799.6,1803.6,1804.6,1798.6,1040
15:50 20.05.22,1800.6,1798.6,1800.7,1798.6,596
15:55 20.05.22,1799.7,1799.7,1801.6,1799.6,431
16:00 20.05.22,1796.7,1800.6,1800.6,1796.6,581
16:05 20.05.22,1792.7,1796.6,1797.6,1792.6,897
16:10 20.05.22,1796.7,1793.6,1796.7,1792.7,684
16:15 20.05.22,1795.6,1797.6,1797.6,1794.6,523
16:20 20.05.22,1792.6,1795.6,1795.7,1790.6,901
16:25 20.05.22,1797.6,1792.6,1797.6,1791.7,739
16:30 20.05.22,1793.7,1796.7,1797.6,1793.7,724
16:35 20.05.22,1793.7,1793.7,1794.6,1792.6,778
16:40 20.05.22,1796.7,1793.7,1797.6,1793.6,745
16:45 20.05.22,1794.6,1796.7,1796.7,1792.7,1045
08:45 23.05.22,1815.7,1819.1,1821.6,1815.6,874
08:50 23.05.22,1821.7,1817.6,1822.6,1817.6,425
08:55 23.05.22,1824.6,1821.7,1824.6,1821.6,555
09:00 23.05.22,1821.6,1824.7,1825.6,1817.6,1133
09:05 23.05.22,1836.6,1820.6,1837.6,1819.6,1479
09:10 23.05.22,1830.6,1835.6,1836.6,1828.7,1477
09:15 23.05.22,1827.7,1829.7,1831.6,1825.6,993
09:20 23.05.22,1825.6,1827.7,1829.6,1825.6,789
09:25 23.05.22,1823.7,1825.7,1826.6,1823.6,780
09:30 23.05.22,1825.7,1823.6,1827.6,1822.6,689
09:35 23.05.22,1823.6,1824.7,1824.7,1820.8,517
09:40 23.05.22,1821.6,1822.6,1823.6,1820.6,592
09:45 23.05.22,1823.6,1821.6,1824.6,1821.6,605
09:50 23.05.22,1827.6,1823.7,1827.6,1823.7,490
09:55 23.05.22,1828.6,1827.6,1829.6,1826.6,310
10:00 23.05.22,1824.7,1828.6,1829.6,1824.7,553
10:05 23.05.22,1824.6,1824.7,1825.6,1821.6,503
10:10 23.05.22,1820.7,1824.6,1825.6,1820.6,602
10:15 23.05.22,1821.6,1820.7,1821.6,1819.6,643
10:20 23.05.22,1825.7,1821.6,1826.6,1821.6,571
10:25 23.05.22,1823.7,1825.7,1826.6,1823.6,455
10:30 23.05.22,1819.6,1823.6,1823.6,1819.6,447
10:35 23.05.22,1816.6,1819.6,1819.6,1815.6,1023
10:40 23.05.22,1816.6,1816.6,1818.6,1816.6,353
10:45 23.05.22,1816.7,1817.6,1817.6,1815.6,482
10:50 23.05.22,1818.6,1817.6,1819.6,1816.6,361
10:55 23.05.22,1819.6,1818.6,1821.6,1818.6,367
11:00 23.05.22,1817.6,1818.6,1818.6,1816.6,373
11:05 23.05.22,1819.6,1818.6,1819.6,1817.6,365
11:10 23.05.22,1816.6,1820.6,1820.6,1816.6,352
11:15 23.05.22,1814.6,1816.6,1816.6,1813.6,665
11:20 23.05.22,1816.7,1815.6,1817.6,1813.7,445
11:25 23.05.22,1817.6,1816.7,1817.6,1816.7,204
11:30 23.05.22,1817.7,1817.6,1817.7,1816.6,281
11:35 23.05.22,1818.7,1817.7,1820.7,1817.6,503
11:40 23.05.22,1819.6,1818.7,1820.6,1818.6,316
11:45 23.05.22,1817.7,1819.7,1819.7,1817.6,304
11:50 23.05.22,1816.6,1817.7,1817.7,1816.6,184
11:55 23.05.22,1816.7,1816.6,1817.6,1816.6,360
12:00 23.05.22,1818.6,1817.7,1819.6,1817.6,333
12:05 23.05.22,1818.6,1816.7,1818.6,1816.6,286
12:10 23.05.22,1819.6,1818.6,1820.6,1818.6,245
12:15 23.05.22,1817.7,1818.6,1819.6,1817.6,330
12:20 23.05.22,1817.6,1817.6,1817.6,1816.7,193
12:25 23.05.22,1818.6,1817.6,1818.6,1817.6,205
