DateTime,Close,Open,Low,High,Volume
00:05 23.06.22,11529.81,11546.28,11520.77,11546.51,3024.0
00:10 23.06.22,11535.81,11529.82,11528.52,11536.58,1515.0
00:15 23.06.22,11531.07,11535.81,11530.52,11541.33,1687.0
00:20 23.06.22,11526.31,11531.29,11526.31,11533.58,1673.0
00:25 23.06.22,11525.78,11526.31,11520.7,11530.29,2175.0
00:30 23.06.22,11525.01,11525.56,11523.27,11528.5,1561.0
00:35 23.06.22,11524.76,11525.46,11524.76,11528.63,1249.0
00:40 23.06.22,11527.57,11524.56,11521.77,11529.76,1359.0
00:45 23.06.22,11530.06,11527.54,11525.03,11531.07,963.0
00:50 23.06.22,11526.57,11529.95,11525.29,11530.75,1009.0
00:55 23.06.22,11530.07,11526.54,11526.02,11531.2,918.0
01:00 23.06.22,11525.81,11530.32,11524.82,11531.01,1072.0
01:05 23.06.22,11508.79,11525.83,11508.03,11526.08,2092.0
01:10 23.06.22,11505.82,11508.79,11503.06,11511.29,2453.0
01:15 23.06.22,11507.96,11506.03,11503.32,11508.88,2017.0
01:20 23.06.22,11487.57,11508.21,11487.04,11508.37,3375.0
01:25 23.06.22,11484.06,11487.08,11481.79,11488.01,2886.0
01:30 23.06.22,11474.04,11484.31,11469.52,11484.83,4045.0
01:35 23.06.22,11464.27,11474.33,11460.11,11474.58,3465.0
01:40 23.06.22,11476.07,11464.07,11463.82,11480.03,2796.0
01:45 23.06.22,11471.78,11476.29,11468.86,11477.32,2690.0
01:50 23.06.22,11480.03,11471.52,11471.52,11482.83,2665.0
01:55 23.06.22,11484.82,11479.81,11478.54,11487.07,2199.0
02:00 23.06.22,11493.32,11484.45,11481.58,11500.77,4734.0
02:05 23.06.22,11493.04,11493.03,11488.77,11496.06,4340.0
02:10 23.06.22,11496.83,11493.26,11490.03,11498.02,2405.0
02:15 23.06.22,11517.07,11496.33,11496.33,11527.03,5335.0
02:20 23.06.22,11518.33,11517.53,11514.31,11524.03,3315.0
02:25 23.06.22,11510.79,11518.32,11510.28,11525.82,2445.0
02:30 23.06.22,11514.31,11510.77,11498.78,11514.83,4222.0
02:35 23.06.22,11517.12,11514.03,11513.54,11522.45,2587.0
02:40 23.06.22,11532.03,11517.58,11514.79,11533.29,3761.0
02:45 23.06.22,11543.02,11531.54,11529.77,11546.57,3249.0
02:50 23.06.22,11582.04,11542.54,11542.29,11584.26,5221.0
02:55 23.06.22,11586.2,11582.27,11582.27,11603.52,5741.0
03:00 23.06.22,11576.53,11584.83,11574.27,11589.32,4031.0
03:05 23.06.22,11583.28,11576.82,11568.58,11587.83,3722.0
03:10 23.06.22,11574.79,11583.32,11574.78,11593.03,3253.0
03:15 23.06.22,11556.52,11574.57,11551.28,11577.06,4452.0
03:20 23.06.22,11566.32,11556.53,11556.27,11575.04,3377.0
03:25 23.06.22,11570.07,11565.52,11557.53,11570.97,3431.0
03:30 23.06.22,11575.83,11570.06,11568.57,11583.79,4500.0
03:35 23.06.22,11562.53,11575.82,11559.52,11578.99,3777.0
03:40 23.06.22,11550.79,11562.52,11550.27,11566.83,3588.0
03:45 23.06.22,11545.33,11551.04,11542.33,11563.58,5270.0
03:50 23.06.22,11517.82,11544.52,11517.33,11545.53,5393.0
03:55 23.06.22,11508.08,11517.79,11502.27,11520.32,4825.0
04:00 23.06.22,11513.83,11507.79,11501.01,11517.08,4163.0
04:05 23.06.22,11512.57,11514.02,11506.27,11517.83,2908.0
04:10 23.06.22,11503.79,11512.81,11492.58,11516.31,4845.0
04:15 23.06.22,11501.81,11503.33,11498.02,11506.31,3838.0
04:20 23.06.22,11492.82,11501.52,11489.58,11506.33,3514.0
04:25 23.06.22,11507.25,11492.82,11492.54,11508.78,3792.0
04:30 23.06.22,11528.7,11507.52,11506.83,11528.71,4298.0
04:35 23.06.22,11533.58,11528.56,11523.77,11533.58,3110.0
04:40 23.06.22,11526.57,11533.57,11524.79,11537.51,2832.0
04:45 23.06.22,11545.57,11526.57,11526.28,11545.83,3485.0
04:50 23.06.22,11532.31,11545.53,11531.78,11547.32,2999.0
04:55 23.06.22,11529.27,11532.31,11526.28,11534.58,3455.0
05:00 23.06.22,11523.79,11529.07,11518.28,11534.08,3152.0
05:05 23.06.22,11538.08,11524.04,11523.02,11539.04,2843.0
05:10 23.06.22,11537.02,11538.08,11533.77,11552.79,3181.0
05:15 23.06.22,11548.28,11537.07,11531.79,11548.28,2643.0
05:20 23.06.22,11544.79,11548.27,11539.29,11549.29,2208.0
05:25 23.06.22,11536.57,11545.28,11532.26,11547.62,2400.0
05:30 23.06.22,11536.27,11536.82,11530.52,11541.53,3217.0
05:35 23.06.22,11546.58,11536.54,11536.02,11550.33,2648.0
05:40 23.06.22,11535.31,11546.29,11535.22,11547.81,2207.0
05:45 23.06.22,11537.04,11535.52,11534.27,11542.03,1704.0
05:50 23.06.22,11540.79,11537.03,11535.02,11542.02,1665.0
05:55 23.06.22,11526.34,11540.78,11526.34,11542.58,2485.0
06:00 23.06.22,11525.54,11526.54,11524.75,11531.86,2261.0
06:05 23.06.22,11513.04,11525.54,11511.27,11525.81,3280.0
06:10 23.06.22,11527.06,11512.57,11512.57,11529.59,2045.0
06:15 23.06.22,11529.56,11527.08,11526.27,11537.99,1978.0
06:20 23.06.22,11538.82,11530.33,11527.57,11540.25,1817.0
06:25 23.06.22,11556.54,11538.82,11538.82,11557.12,2715.0
06:30 23.06.22,11560.53,11557.12,11552.78,11567.33,3274.0
06:35 23.06.22,11561.07,11560.77,11555.32,11562.83,2071.0
06:40 23.06.22,11570.07,11561.81,11561.52,11572.58,3188.0
06:45 23.06.22,11560.29,11569.79,11558.02,11570.08,2065.0
06:50 23.06.22,11552.28,11559.79,11549.28,11563.86,2498.0
06:55 23.06.22,11555.83,11549.04,11549.04,11560.56,2320.0
07:00 23.06.22,11557.57,11555.75,11553.81,11560.33,2687.0
07:05 23.06.22,11553.07,11557.52,11552.81,11564.25,3509.0
07:10 23.06.22,11553.79,11553.28,11551.02,11558.83,2047.0
07:15 23.06.22,11563.29,11554.03,11553.82,11572.03,3136.0
07:20 23.06.22,11556.06,11563.53,11554.07,11567.32,2700.0
07:25 23.06.22,11566.54,11556.08,11555.77,11570.82,2314.0
07:30 23.06.22,11580.79,11565.56,11565.56,11586.33,3726.0
07:35 23.06.22,11572.83,11581.03,11572.06,11588.83,3159.0
07:40 23.06.22,11575.04,11572.52,11572.09,11580.58,2199.0
07:45 23.06.22,11577.08,11575.31,11570.94,11579.13,2180.0
07:50 23.06.22,11565.38,11577.29,11564.06,11577.29,1976.0
07:55 23.06.22,11568.78,11564.52,11560.03,11569.77,2336.0
08:00 23.06.22,11561.24,11568.81,11547.26,11571.53,3442.0
08:05 23.06.22,11551.78,11560.74,11547.76,11562.73,2893.0
08:10 23.06.22,11553.99,11551.53,11549.73,11561.78,2783.0
08:15 23.06.22,11557.02,11554.01,11549.23,11559.74,2414.0
08:20 23.06.22,11547.72,11556.22,11543.24,11556.49,2816.0
08:25 23.06.22,11549.03,11547.97,11544.77,11554.27,2653.0
08:30 23.06.22,11551.03,11548.23,11546.01,11555.24,2630.0
08:35 23.06.22,11559.26,11550.53,11548.47,11559.76,2134.0
08:40 23.06.22,11569.73,11559.53,11558.76,11572.47,2981.0
08:45 23.06.22,11565.49,11569.73,11563.24,11572.2,2234.0
08:50 23.06.22,11558.01,11565.24,11553.02,11566.28,2117.0
08:55 23.06.22,11559.99,11557.51,11550.99,11570.02,2498.0
09:00 23.06.22,11545.47,11560.23,11527.78,11561.01,7236.0
09:05 23.06.22,11520.97,11545.76,11518.27,11554.28,5475.0
09:10 23.06.22,11537.01,11521.02,11518.51,11542.78,5957.0
09:15 23.06.22,11518.52,11537.52,11506.97,11537.52,8306.0
09:20 23.06.22,11498.53,11518.52,11495.98,11518.52,6280.0
09:25 23.06.22,11512.98,11498.74,11492.77,11516.21,5082.0
09:30 23.06.22,11518.78,11512.99,11495.22,11521.52,6392.0
09:35 23.06.22,11507.24,11518.78,11485.76,11518.78,6752.0
09:40 23.06.22,11530.02,11507.51,11504.48,11536.03,7473.0
09:45 23.06.22,11526.48,11529.77,11522.48,11536.44,5497.0
09:50 23.06.22,11516.52,11526.27,11514.27,11527.27,4019.0
09:55 23.06.22,11521.22,11516.47,11510.16,11529.51,5069.0
10:00 23.06.22,11548.28,11520.48,11505.84,11550.74,6415.0
10:05 23.06.22,11584.23,11547.77,11545.02,11584.24,7574.0
10:10 23.06.22,11614.23,11584.47,11580.01,11624.26,8249.0
10:15 23.06.22,11602.24,11614.23,11596.73,11617.74,6318.0
10:20 23.06.22,11598.26,11601.47,11595.02,11603.26,4216.0
10:25 23.06.22,11587.51,11598.51,11587.46,11602.53,3781.0
10:30 23.06.22,11576.98,11587.53,11576.72,11591.65,4630.0
10:35 23.06.22,11577.78,11577.22,11572.49,11580.53,3085.0
10:40 23.06.22,11585.19,11577.78,11577.74,11590.29,3955.0
10:45 23.06.22,11590.01,11585.19,11579.99,11591.53,4040.0
10:50 23.06.22,11583.22,11590.22,11581.24,11591.98,3025.0
10:55 23.06.22,11588.23,11583.27,11582.23,11593.4,3407.0
11:00 23.06.22,11605.53,11587.77,11585.48,11609.74,4773.0
11:05 23.06.22,11597.51,11605.02,11595.26,11608.72,3443.0
11:10 23.06.22,11625.53,11597.48,11596.52,11626.28,4578.0
11:15 23.06.22,11622.97,11626.02,11622.97,11636.02,5117.0
