DatoCzas,Close,Open,Low,High,Volume
Sep 23 2021 8:30:00 AM,2347.7,2338.1,2348.6,2336.7,1967.0
Sep 23 2021 9:00:00 AM,2339.6,2348.6,2350.6,2337.6,6497.0
Sep 23 2021 9:30:00 AM,2333.7,2338.7,2340.6,2333.6,4889.0
Sep 23 2021 10:00:00 AM,2340.6,2333.6,2343.6,2333.6,3133.0
Sep 23 2021 10:30:00 AM,2333.6,2339.7,2339.7,2333.6,1758.0
Sep 23 2021 11:00:00 AM,2335.6,2333.7,2339.6,2333.7,2029.0
Sep 23 2021 11:30:00 AM,2336.7,2336.6,2339.6,2335.6,1436.0
Sep 23 2021 12:00:00 PM,2330.7,2336.7,2339.6,2326.7,3425.0
Sep 23 2021 12:30:00 PM,2324.7,2329.6,2329.6,2322.6,2841.0
Sep 23 2021 1:00:00 PM,2323.7,2324.6,2326.6,2320.6,2285.0
Sep 23 2021 1:30:00 PM,2323.6,2323.7,2326.6,2322.6,1498.0
Sep 23 2021 2:00:00 PM,2324.7,2323.6,2327.6,2323.6,1645.0
Sep 23 2021 2:30:00 PM,2323.6,2325.6,2326.6,2323.6,1404.0
Sep 23 2021 3:00:00 PM,2322.7,2324.6,2325.6,2322.6,1760.0
Sep 23 2021 3:30:00 PM,2327.6,2322.6,2328.6,2321.7,3017.0
Sep 23 2021 4:00:00 PM,2320.6,2327.6,2331.6,2319.6,3091.0
Sep 23 2021 4:30:00 PM,2311.7,2320.6,2322.6,2311.6,2894.0
Sep 24 2021 8:30:00 AM,2317.6,2319.1,2319.1,2312.6,1308.0
Sep 24 2021 9:00:00 AM,2307.6,2316.7,2316.7,2305.6,4065.0
Sep 24 2021 9:30:00 AM,2311.6,2306.7,2314.6,2305.6,2667.0
Sep 24 2021 10:00:00 AM,2314.6,2311.7,2316.7,2311.7,2162.0
Sep 24 2021 10:30:00 AM,2321.7,2315.6,2321.7,2315.6,1925.0
Sep 24 2021 11:00:00 AM,2317.6,2321.7,2322.6,2317.6,2120.0
Sep 24 2021 11:30:00 AM,2314.6,2317.6,2318.6,2312.6,1864.0
Sep 24 2021 12:00:00 PM,2316.7,2314.7,2318.6,2314.6,1384.0
Sep 24 2021 12:30:00 PM,2313.6,2317.6,2318.6,2312.7,1770.0
Sep 24 2021 1:00:00 PM,2309.6,2313.6,2314.6,2306.6,2413.0
Sep 24 2021 1:30:00 PM,2302.7,2310.6,2310.6,2302.6,1635.0
Sep 24 2021 2:00:00 PM,2301.6,2302.7,2304.6,2298.6,1794.0
Sep 24 2021 2:30:00 PM,2300.7,2301.6,2302.7,2299.6,1238.0
Sep 24 2021 3:00:00 PM,2297.6,2300.7,2300.7,2293.6,2211.0
Sep 24 2021 3:30:00 PM,2301.6,2297.6,2302.6,2296.6,2494.0
Sep 24 2021 4:00:00 PM,2301.6,2301.7,2305.6,2299.6,2315.0
Sep 24 2021 4:30:00 PM,2297.7,2300.7,2301.6,2294.6,1636.0
Sep 27 2021 8:30:00 AM,2308.6,2309.1,2311.7,2306.6,1604.0
Sep 27 2021 9:00:00 AM,2304.7,2308.6,2309.7,2300.7,3473.0
Sep 27 2021 9:30:00 AM,2297.6,2303.6,2305.6,2295.6,2628.0
Sep 27 2021 10:00:00 AM,2298.6,2297.6,2300.6,2296.7,1850.0
Sep 27 2021 10:30:00 AM,2297.6,2297.6,2299.6,2295.6,1272.0
Sep 27 2021 11:00:00 AM,2303.6,2296.7,2303.6,2296.6,1650.0
Sep 27 2021 11:30:00 AM,2300.7,2303.6,2304.6,2299.6,1817.0
Sep 27 2021 12:00:00 PM,2303.7,2300.6,2305.6,2300.6,2030.0
Sep 27 2021 12:30:00 PM,2296.6,2303.6,2304.6,2296.6,1497.0
Sep 27 2021 1:00:00 PM,2294.6,2297.6,2297.7,2293.6,1378.0
Sep 27 2021 1:30:00 PM,2290.6,2293.6,2295.6,2289.6,1555.0
Sep 27 2021 2:00:00 PM,2287.6,2289.6,2290.6,2286.6,2171.0
Sep 27 2021 2:30:00 PM,2283.6,2287.6,2287.6,2281.6,2563.0
Sep 27 2021 3:00:00 PM,2283.6,2283.6,2287.6,2282.6,1637.0
Sep 27 2021 3:30:00 PM,2285.6,2283.6,2285.7,2281.6,3053.0
Sep 27 2021 4:00:00 PM,2291.6,2284.7,2291.6,2283.6,2695.0
Sep 27 2021 4:30:00 PM,2286.6,2291.6,2291.7,2286.6,2145.0
Sep 28 2021 8:30:00 AM,2284.6,2288.1,2288.1,2283.6,1518.0
Sep 28 2021 9:00:00 AM,2282.6,2285.6,2293.6,2282.6,4390.0
Sep 28 2021 9:30:00 AM,2283.7,2282.6,2284.6,2279.6,3002.0
Sep 28 2021 10:00:00 AM,2282.6,2283.6,2283.7,2278.6,2266.0
Sep 28 2021 10:30:00 AM,2286.6,2282.7,2286.6,2282.6,1693.0
Sep 28 2021 11:00:00 AM,2288.6,2286.6,2288.6,2283.7,1179.0
Sep 28 2021 11:30:00 AM,2282.6,2287.6,2288.6,2282.6,1390.0
Sep 28 2021 12:00:00 PM,2282.6,2282.6,2284.6,2279.6,1568.0
Sep 28 2021 12:30:00 PM,2283.6,2283.6,2286.6,2282.7,1246.0
Sep 28 2021 1:00:00 PM,2280.7,2283.7,2284.7,2279.6,1969.0
Sep 28 2021 1:30:00 PM,2286.7,2281.6,2287.6,2278.7,1576.0
Sep 28 2021 2:00:00 PM,2286.7,2286.7,2287.6,2285.6,1157.0
Sep 28 2021 2:30:00 PM,2284.7,2287.6,2287.6,2282.6,1415.0
Sep 28 2021 3:00:00 PM,2285.6,2284.6,2285.6,2282.6,1452.0
Sep 28 2021 3:30:00 PM,2280.6,2284.7,2287.6,2279.6,2962.0
Sep 28 2021 4:00:00 PM,2270.6,2279.7,2280.6,2267.6,4871.0
Sep 28 2021 4:30:00 PM,2271.6,2269.6,2273.6,2268.7,2455.0
Sep 29 2021 8:30:00 AM,2277.6,2273.1,2277.6,2273.1,1173.0
Sep 29 2021 9:00:00 AM,2284.6,2276.7,2285.7,2270.6,5016.0
Sep 29 2021 9:30:00 AM,2285.7,2284.7,2286.6,2283.6,1746.0
Sep 29 2021 10:00:00 AM,2285.7,2285.6,2289.6,2285.6,1965.0
Sep 29 2021 10:30:00 AM,2290.6,2285.6,2290.6,2284.6,1362.0
Sep 29 2021 11:00:00 AM,2289.7,2290.7,2292.6,2288.6,1443.0
Sep 29 2021 11:30:00 AM,2292.6,2290.7,2292.6,2290.6,1010.0
Sep 29 2021 12:00:00 PM,2294.6,2292.7,2295.6,2292.7,1377.0
Sep 29 2021 12:30:00 PM,2291.6,2293.7,2294.6,2291.6,974.0
Sep 29 2021 1:00:00 PM,2291.6,2291.6,2293.6,2288.6,1281.0
Sep 29 2021 1:30:00 PM,2289.7,2291.6,2291.6,2287.6,1026.0
Sep 29 2021 2:00:00 PM,2291.6,2289.6,2293.6,2289.6,1126.0
Sep 29 2021 2:30:00 PM,2285.6,2291.6,2291.6,2285.6,1466.0
Sep 29 2021 3:00:00 PM,2285.6,2285.6,2287.6,2283.6,1539.0
Sep 29 2021 3:30:00 PM,2286.6,2285.6,2288.7,2281.6,2657.0
Sep 29 2021 4:00:00 PM,2289.6,2286.7,2291.6,2286.6,2387.0
Sep 29 2021 4:30:00 PM,2288.6,2288.7,2288.7,2285.6,1764.0
Sep 30 2021 8:30:00 AM,2303.7,2300.1,2304.7,2298.6,1396.0
Sep 30 2021 9:00:00 AM,2301.6,2303.7,2305.6,2293.6,4579.0
Sep 30 2021 9:30:00 AM,2303.7,2302.6,2309.6,2302.6,2615.0
Sep 30 2021 10:00:00 AM,2301.7,2303.7,2306.6,2299.6,1729.0
Sep 30 2021 10:30:00 AM,2298.6,2301.7,2301.7,2295.6,1363.0
Sep 30 2021 11:00:00 AM,2298.6,2298.6,2300.7,2296.7,1377.0
Sep 30 2021 11:30:00 AM,2299.6,2298.6,2299.6,2296.6,1231.0
Sep 30 2021 12:00:00 PM,2297.6,2300.6,2300.7,2297.6,1411.0
Sep 30 2021 12:30:00 PM,2300.6,2296.7,2301.6,2296.6,1300.0
Sep 30 2021 1:00:00 PM,2302.7,2299.7,2304.6,2298.7,1332.0
Sep 30 2021 1:30:00 PM,2302.6,2303.6,2303.6,2299.7,1184.0
Sep 30 2021 2:00:00 PM,2303.6,2301.7,2304.6,2301.7,1673.0
Sep 30 2021 2:30:00 PM,2303.6,2304.6,2306.6,2302.7,1661.0
Sep 30 2021 3:00:00 PM,2304.7,2302.7,2304.7,2299.7,2021.0
Sep 30 2021 3:30:00 PM,2302.6,2304.7,2305.6,2299.6,3282.0
Sep 30 2021 4:00:00 PM,2303.6,2301.7,2305.6,2300.6,2985.0
Sep 30 2021 4:30:00 PM,2302.7,2302.6,2303.7,2301.6,2548.0
Oct 1 2021 8:30:00 AM,2284.7,2282.1,2286.6,2281.6,1812.0
Oct 1 2021 9:00:00 AM,2289.6,2284.7,2289.6,2280.6,6216.0
Oct 1 2021 9:30:00 AM,2294.6,2289.7,2297.6,2289.7,3238.0
Oct 1 2021 10:00:00 AM,2293.6,2294.6,2297.6,2288.6,2864.0
Oct 1 2021 10:30:00 AM,2301.6,2293.7,2301.7,2293.7,2869.0
Oct 1 2021 11:00:00 AM,2303.6,2301.7,2307.6,2301.7,2607.0
Oct 1 2021 11:30:00 AM,2303.6,2304.6,2304.6,2300.6,2205.0
Oct 1 2021 12:00:00 PM,2307.6,2303.6,2307.6,2302.7,1399.0
Oct 1 2021 12:30:00 PM,2315.7,2307.7,2315.7,2307.7,2618.0
Oct 1 2021 1:00:00 PM,2319.6,2315.7,2320.6,2314.7,2541.0
Oct 1 2021 1:30:00 PM,2326.6,2319.7,2327.6,2319.6,3350.0
Oct 1 2021 2:00:00 PM,2325.6,2326.7,2328.6,2325.6,1965.0
Oct 1 2021 2:30:00 PM,2323.7,2325.6,2325.6,2318.7,2758.0
Oct 1 2021 3:00:00 PM,2325.7,2324.6,2326.6,2324.6,1035.0
Oct 1 2021 3:30:00 PM,2321.6,2325.6,2327.6,2319.6,3905.0
Oct 1 2021 4:00:00 PM,2322.6,2320.7,2327.6,2320.6,3762.0
Oct 1 2021 4:30:00 PM,2324.7,2321.6,2324.7,2321.6,2710.0
Oct 4 2021 8:30:00 AM,2314.7,2320.1,2320.6,2314.6,1271.0
Oct 4 2021 9:00:00 AM,2306.7,2315.6,2316.6,2306.6,5580.0
Oct 4 2021 9:30:00 AM,2316.7,2305.7,2321.6,2303.7,4244.0
Oct 4 2021 10:00:00 AM,2316.7,2316.7,2320.7,2315.6,2736.0
Oct 4 2021 10:30:00 AM,2319.7,2317.6,2320.6,2312.6,3134.0
Oct 4 2021 11:00:00 AM,2327.6,2318.6,2328.6,2318.6,3565.0
Oct 4 2021 11:30:00 AM,2327.7,2327.7,2330.6,2324.6,2524.0
Oct 4 2021 12:00:00 PM,2330.7,2328.7,2332.6,2328.6,1810.0
Oct 4 2021 12:30:00 PM,2329.7,2330.7,2330.7,2327.6,1195.0
Oct 4 2021 1:00:00 PM,2328.6,2329.6,2329.6,2325.6,1197.0
Oct 4 2021 1:30:00 PM,2329.7,2328.6,2329.7,2327.6,1238.0
Oct 4 2021 2:00:00 PM,2341.7,2330.7,2342.6,2330.7,2308.0
Oct 4 2021 2:30:00 PM,2347.6,2341.7,2349.6,2339.6,2846.0
Oct 4 2021 3:00:00 PM,2354.6,2347.6,2355.6,2347.6,2388.0
Oct 4 2021 3:30:00 PM,2345.7,2353.7,2355.6,2341.7,4093.0
Oct 4 2021 4:00:00 PM,2331.7,2344.7,2345.6,2330.6,4141.0
Oct 4 2021 4:30:00 PM,2330.7,2331.6,2334.6,2328.6,2551.0
Oct 5 2021 8:30:00 AM,2335.6,2326.1,2337.6,2324.6,1163.0
Oct 5 2021 9:00:00 AM,2347.6,2335.6,2348.6,2333.6,3202.0
Oct 5 2021 9:30:00 AM,2323.6,2346.7,2346.7,2320.7,4573.0
Oct 5 2021 10:00:00 AM,2332.7,2324.6,2333.7,2323.6,2487.0
Oct 5 2021 10:30:00 AM,2337.6,2334.6,2338.7,2333.6,2057.0
Oct 5 2021 11:00:00 AM,2341.7,2337.7,2346.6,2337.6,1398.0
Oct 5 2021 11:30:00 AM,2339.6,2340.7,2344.6,2337.7,1180.0
Oct 5 2021 12:00:00 PM,2341.6,2340.6,2341.6,2336.7,774.0
Oct 5 2021 12:30:00 PM,2343.6,2341.7,2344.6,2339.6,882.0
Oct 5 2021 1:00:00 PM,2343.7,2343.7,2344.6,2340.7,678.0
Oct 5 2021 1:30:00 PM,2342.7,2343.6,2344.6,2342.6,768.0
Oct 5 2021 2:00:00 PM,2343.6,2342.6,2344.6,2340.6,775.0
Oct 5 2021 2:30:00 PM,2346.6,2342.7,2347.6,2340.6,893.0
Oct 5 2021 3:00:00 PM,2349.6,2346.7,2350.6,2346.6,1702.0
Oct 5 2021 3:30:00 PM,2351.6,2348.7,2355.6,2347.6,2935.0
Oct 5 2021 4:00:00 PM,2357.6,2352.6,2359.6,2351.6,2039.0
Oct 5 2021 4:30:00 PM,2361.6,2358.6,2361.7,2357.6,1707.0
Oct 6 2021 8:30:00 AM,2351.7,2347.1,2354.6,2347.1,1265.0
Oct 6 2021 9:00:00 AM,2352.7,2353.6,2357.6,2350.6,3967.0
Oct 6 2021 9:30:00 AM,2346.7,2352.7,2355.6,2344.6,3014.0
Oct 6 2021 10:00:00 AM,2339.6,2347.7,2347.7,2335.6,3091.0
Oct 6 2021 10:30:00 AM,2339.6,2339.6,2343.6,2337.7,2232.0
Oct 6 2021 11:00:00 AM,2330.6,2340.6,2340.6,2329.6,2808.0
Oct 6 2021 11:30:00 AM,2331.6,2329.7,2333.6,2329.6,2202.0
Oct 6 2021 12:00:00 PM,2332.6,2330.7,2334.6,2328.7,1791.0
Oct 6 2021 12:30:00 PM,2330.6,2331.7,2331.7,2327.6,2027.0
Oct 6 2021 1:00:00 PM,2332.7,2330.6,2334.6,2329.6,1686.0
Oct 6 2021 1:30:00 PM,2333.6,2332.7,2334.6,2330.6,1559.0
Oct 6 2021 2:00:00 PM,2341.6,2333.7,2341.7,2333.6,2259.0
Oct 6 2021 2:30:00 PM,2335.6,2341.6,2344.6,2334.6,2457.0
Oct 6 2021 3:00:00 PM,2341.6,2335.7,2350.7,2334.6,3621.0
Oct 6 2021 3:30:00 PM,2352.6,2340.7,2356.6,2339.6,6511.0
Oct 6 2021 4:00:00 PM,2345.6,2351.6,2355.6,2343.6,4937.0
Oct 6 2021 4:30:00 PM,2351.6,2345.6,2351.7,2345.6,2302.0
Oct 7 2021 8:30:00 AM,2353.6,2361.1,2362.6,2353.6,1761.0
Oct 7 2021 9:00:00 AM,2343.7,2353.7,2361.6,2342.6,5436.0
Oct 7 2021 9:30:00 AM,2338.7,2343.6,2345.6,2338.6,4148.0
Oct 7 2021 10:00:00 AM,2337.7,2337.6,2340.6,2331.6,4795.0
Oct 7 2021 10:30:00 AM,2338.7,2337.7,2343.6,2337.7,2717.0
Oct 7 2021 11:00:00 AM,2339.6,2338.6,2343.7,2337.6,2138.0
Oct 7 2021 11:30:00 AM,2342.6,2338.7,2343.7,2337.6,2026.0
Oct 7 2021 12:00:00 PM,2352.7,2342.6,2354.6,2342.6,3046.0
Oct 7 2021 12:30:00 PM,2357.6,2352.7,2357.6,2350.6,2205.0
Oct 7 2021 1:00:00 PM,2358.6,2357.6,2358.6,2356.6,1436.0
Oct 7 2021 1:30:00 PM,2358.7,2357.7,2361.6,2357.6,1437.0
Oct 7 2021 2:00:00 PM,2354.6,2358.7,2358.7,2354.6,1117.0
