Date,Open,High,Low,Close,Adj Close,Volume
2017-03-06,57.849998,58.700001,57.450001,57.799999,47.547375,1567442
2017-03-07,57.900002,58.450001,57.650002,58.000000,47.711899,1451291
2017-03-08,58.000000,58.400002,57.950001,57.950001,47.670769,1601286
2017-03-09,57.900002,58.500000,57.599998,58.400002,48.040947,1689717
2017-03-10,58.500000,59.549999,58.500000,59.299999,48.781303,1444695
2017-03-13,59.299999,59.500000,58.849998,59.200001,48.699043,1289905
2017-03-14,59.099998,59.500000,58.450001,58.599998,48.205467,1507867
2017-03-15,58.900002,60.000000,55.625000,59.450001,48.904697,1364614
2017-03-16,60.000000,60.299999,59.099998,59.150002,48.657909,2481579
2017-03-17,59.400002,59.650002,58.849998,59.049999,48.575649,1513272
2017-03-20,59.049999,59.849998,58.750000,59.799999,49.192612,1157752
2017-03-21,60.099998,60.400002,59.049999,59.200001,48.699043,1206344
2017-03-22,58.049999,58.049999,56.150002,57.349998,47.177197,3618611
2017-03-23,57.500000,57.799999,56.599998,57.450001,47.259457,2099253
2017-03-24,57.400002,57.700001,56.849998,57.400002,47.218330,1364358
2017-03-27,56.650002,56.799999,55.150002,56.000000,46.066662,3176045
2017-03-28,56.500000,57.400002,55.599998,57.099998,46.971546,1679779
2017-03-29,57.599998,58.200001,56.950001,57.500000,47.300591,1795903
2017-03-30,57.599998,58.200001,57.299999,58.200001,47.876423,1621809
2017-03-31,58.349998,58.349998,57.000000,57.099998,46.971546,1361833
2017-04-03,57.500000,58.200001,57.150002,57.700001,47.465115,1037010
2017-04-04,57.900002,57.900002,56.250000,56.950001,46.848148,1628050
2017-04-05,57.000000,58.450001,56.650002,58.299999,47.958683,1332763
2017-04-06,56.900002,56.900002,56.000000,56.500000,47.747406,1631178
2017-04-07,56.599998,56.950001,55.400002,55.750000,47.113594,1322760
2017-04-10,55.750000,56.450001,55.750000,56.099998,47.409374,1046907
2017-04-11,56.099998,56.250000,55.700001,55.900002,47.240360,734804
2017-04-12,55.950001,56.049999,55.700001,55.799999,47.155853,467148
2017-04-13,55.799999,55.799999,55.799999,55.799999,47.155853,0
2017-04-18,55.700001,55.750000,53.950001,53.950001,45.592442,2197423
2017-04-19,53.700001,54.450001,53.650002,53.950001,45.592442,1683947
2017-04-20,53.900002,55.099998,53.650002,54.950001,46.437523,1707555
2017-04-21,55.049999,55.700001,55.000000,55.250000,46.691051,987846
2017-04-24,56.500000,57.299999,56.200001,57.099998,48.254467,1585500
2017-04-25,57.099998,58.049999,56.799999,58.049999,49.057293,1598644
2017-04-26,57.599998,57.900002,56.900002,57.500000,48.592499,2081359
2017-04-27,57.500000,57.599998,55.700001,55.900002,47.240360,2440884
2017-04-28,56.000000,57.099998,55.900002,56.599998,47.831917,1638233
2017-05-02,56.599998,57.650002,56.299999,57.599998,48.677006,1776682
2017-05-03,57.500000,57.900002,57.200001,57.900002,48.930534,1004362
2017-05-04,57.950001,58.650002,57.650002,58.000000,49.015041,1226446
2017-05-05,57.150002,57.799999,57.150002,57.799999,48.846024,1367750
2017-05-08,58.049999,58.150002,57.549999,58.150002,49.141808,916438
2017-05-09,58.150002,58.950001,58.150002,58.450001,49.395336,1423460
2017-05-10,58.500000,58.599998,58.049999,58.450001,49.395336,1050071
2017-05-11,58.549999,58.549999,57.599998,57.799999,48.846024,862025
2017-05-12,58.000000,58.250000,57.599998,57.900002,48.930534,602975
2017-05-15,58.049999,58.349998,57.799999,58.099998,49.099545,858470
2017-05-16,58.150002,58.299999,57.599998,58.000000,49.015041,865266
2017-05-18,57.150002,57.650002,55.000000,55.799999,47.155853,2450587
2017-05-19,56.000000,56.950001,56.000000,56.799999,48.000935,1027176
2017-05-22,56.900002,57.150002,55.299999,55.950001,47.282616,1393030
2017-05-23,55.599998,56.250000,55.450001,55.500000,46.902325,956155
2017-05-24,55.500000,55.950001,55.250000,55.700001,47.071342,912715
2017-05-26,55.450001,55.950001,55.200001,55.500000,46.902325,705117
2017-05-29,55.400002,55.450001,54.849998,55.150002,46.606544,423730
2017-05-30,55.200001,55.950001,54.799999,55.700001,47.071342,1336624
2017-05-31,55.700001,55.950001,55.150002,55.150002,46.606544,1433776
2017-06-01,55.299999,55.799999,55.250000,55.450001,46.860069,831749
2017-06-02,55.450001,56.900002,55.150002,55.650002,47.029087,1106341
2017-06-06,55.549999,55.599998,53.549999,53.799999,45.465675,1524006
2017-06-07,53.900002,54.000000,53.450001,53.599998,45.296658,1549349
2017-06-08,53.500000,53.950001,53.000000,53.599998,45.296658,1448710
2017-06-09,53.450001,54.000000,53.400002,53.900002,45.550182,823127
2017-06-12,53.950001,54.299999,53.450001,54.299999,45.888218,1087597
2017-06-13,54.299999,54.549999,54.000000,54.450001,46.014984,1111456
2017-06-14,54.900002,56.000000,54.549999,54.549999,46.099491,2464962
2017-06-15,54.599998,54.650002,53.099998,53.099998,44.874115,2106136
2017-06-16,53.500000,54.500000,53.500000,54.349998,45.930473,1699290
2017-06-19,54.599998,55.099998,54.150002,55.000000,46.479782,1293834
2017-06-20,55.200001,55.599998,54.750000,55.099998,46.564289,1137545
2017-06-21,55.200001,55.349998,53.900002,54.400002,45.972729,1678885
2017-06-22,54.400002,54.400002,53.450001,53.650002,45.338909,1342081
2017-06-23,53.799999,54.150002,53.650002,54.099998,45.719200,1007296
2017-06-26,54.250000,54.849998,54.049999,54.200001,45.803711,1511042
2017-06-27,54.150002,55.400002,53.750000,55.400002,46.817814,1522886
2017-06-28,55.299999,57.049999,54.799999,57.049999,48.212208,3853931
2017-06-29,57.099998,58.000000,57.099998,57.400002,48.507992,2768283
2017-06-30,57.400002,57.849998,56.950001,57.599998,48.677006,1311170
2017-07-03,58.000000,58.849998,57.799999,58.849998,49.733364,1264019
2017-07-04,58.750000,59.849998,58.700001,59.400002,50.198162,1482323
2017-07-05,59.450001,59.599998,58.950001,58.950001,49.817875,1256661
2017-07-06,59.150002,60.599998,59.049999,60.049999,50.747471,1933210
2017-07-07,60.099998,60.400002,59.750000,60.200001,50.874233,1290916
2017-07-10,60.599998,62.000000,60.599998,62.000000,52.395386,1769627
2017-07-11,62.000000,62.450001,61.549999,61.900002,52.310883,1265203
2017-07-12,62.000000,63.099998,62.000000,62.549999,52.860184,2013450
2017-07-13,64.000000,64.400002,63.150002,63.900002,54.001057,1976431
2017-07-14,64.050003,64.849998,63.799999,64.250000,54.296837,1626238
2017-07-17,64.250000,65.099998,64.250000,64.800003,54.761635,1270385
2017-07-18,64.699997,64.900002,64.150002,64.699997,54.677120,1200285
2017-07-19,64.500000,65.650002,64.300003,65.599998,55.437706,1122688
2017-07-20,65.800003,66.500000,65.699997,66.250000,55.987007,1623069
2017-07-21,65.849998,66.349998,64.800003,64.949997,54.888393,1502666
2017-07-24,65.199997,66.250000,64.949997,66.099998,55.860249,1143580
2017-07-25,66.000000,66.449997,65.949997,66.000000,55.775734,1181186
2017-07-26,66.050003,66.349998,65.750000,66.250000,55.987007,1426703
2017-07-27,66.250000,66.300003,65.550003,66.000000,55.775734,1401748
2017-07-28,65.650002,66.000000,65.150002,65.900002,55.691231,1209556
2017-07-31,66.050003,66.449997,65.650002,65.650002,55.479958,1112259
2017-08-01,65.699997,66.250000,65.599998,66.000000,55.775734,1156917
2017-08-02,66.150002,66.550003,65.550003,66.349998,56.071514,999693
2017-08-03,66.349998,66.900002,65.949997,66.599998,56.282784,1294127
2017-08-04,66.599998,66.650002,65.400002,65.750000,55.564461,1195084
2017-08-07,65.500000,66.400002,65.400002,66.400002,56.113770,1148733
2017-08-08,66.449997,66.500000,65.699997,66.199997,55.944752,1104161
2017-08-09,65.750000,65.949997,64.300003,64.900002,54.846138,1076572
2017-08-10,65.000000,65.099998,63.650002,63.799999,53.916542,1104771
2017-08-11,63.250000,63.900002,62.349998,63.650002,53.789783,1700669
2017-08-14,63.650002,64.900002,63.650002,64.550003,54.550365,899646
2017-08-15,64.900002,65.050003,64.500000,64.699997,54.677120,1005023
2017-08-16,64.699997,65.550003,64.699997,65.500000,55.353195,846444
2017-08-17,65.150002,65.150002,64.300003,64.300003,54.339092,824305
2017-08-18,63.650002,64.949997,63.150002,64.900002,54.846138,1223992
2017-08-21,65.000000,65.500000,63.900002,63.900002,54.001057,1158171
2017-08-22,64.000000,64.150002,62.950001,63.400002,53.578514,1291136
2017-08-23,63.400002,63.900002,63.200001,63.250000,53.451748,957512
2017-08-24,63.549999,63.900002,62.700001,63.549999,53.705269,1131604
2017-08-25,63.700001,64.199997,63.500000,63.700001,53.832039,985908
2017-08-28,63.549999,63.599998,63.099998,63.250000,53.451748,416777
2017-08-29,62.900002,62.950001,61.700001,62.250000,52.606659,1112124
2017-08-30,62.599998,63.599998,62.599998,63.450001,53.620766,982633
2017-08-31,63.599998,64.449997,63.450001,64.199997,54.254578,1511524
2017-09-01,64.400002,64.500000,63.799999,64.400002,54.423599,757558
2017-09-04,63.750000,63.900002,63.250000,63.500000,53.663021,962113
2017-09-05,63.200001,63.250000,62.500000,62.549999,52.860184,1074698
2017-09-06,62.049999,62.049999,61.250000,61.349998,51.846081,1298739
2017-09-07,61.500000,61.849998,60.799999,61.500000,51.972847,1490962
2017-09-08,61.500000,61.700001,60.849998,60.950001,51.508045,1380871
2017-09-11,61.099998,62.799999,61.099998,61.900002,52.310883,1271770
2017-09-12,62.349998,62.650002,61.299999,62.250000,52.606659,1621079
2017-09-13,62.200001,62.950001,62.099998,62.700001,52.986950,1496973
