DatoCzas,Close,Open,Low,High,Volume
Apr 13 2022 4:30:00 AM,14030.27,14025.47,14031.24,14024.97,655.0
Apr 13 2022 4:35:00 AM,14026.03,14030.02,14031.77,14025.53,592.0
Apr 13 2022 4:40:00 AM,14022.56,14026.21,14027.28,14020.27,1093.0
Apr 13 2022 4:45:00 AM,14023.86,14022.62,14024.79,14020.51,478.0
Apr 13 2022 4:50:00 AM,14028.58,14024.08,14028.83,14024.08,639.0
Apr 13 2022 4:55:00 AM,14024.82,14028.29,14030.38,14023.72,428.0
Apr 13 2022 5:00:00 AM,14038.06,14024.78,14038.57,14024.78,1007.0
Apr 13 2022 5:05:00 AM,14038.32,14038.02,14047.08,14036.82,2675.0
Apr 13 2022 5:10:00 AM,14041.28,14038.27,14042.37,14038.27,573.0
Apr 13 2022 5:15:00 AM,14043.52,14041.53,14043.82,14039.79,464.0
Apr 13 2022 5:20:00 AM,14044.58,14044.01,14047.57,14042.71,500.0
Apr 13 2022 5:25:00 AM,14046.75,14044.28,14046.75,14041.24,426.0
Apr 13 2022 5:30:00 AM,14038.82,14046.79,14049.02,14034.83,1662.0
Apr 13 2022 5:35:00 AM,14041.81,14038.72,14042.83,14037.47,498.0
Apr 13 2022 5:40:00 AM,14038.27,14042.02,14043.82,14037.07,482.0
Apr 13 2022 5:45:00 AM,14038.83,14038.26,14040.08,14036.01,381.0
Apr 13 2022 5:50:00 AM,14039.81,14038.54,14041.58,14036.52,367.0
Apr 13 2022 5:55:00 AM,14039.06,14039.32,14039.36,14036.71,278.0
Apr 13 2022 6:00:00 AM,14035.31,14039.07,14041.78,14034.56,535.0
Apr 13 2022 6:05:00 AM,14039.45,14035.31,14040.32,14035.31,258.0
Apr 13 2022 6:10:00 AM,14040.33,14039.27,14040.47,14038.04,158.0
Apr 13 2022 6:15:00 AM,14038.07,14039.95,14040.52,14035.29,278.0
Apr 13 2022 6:20:00 AM,14034.77,14037.95,14038.13,14034.77,323.0
Apr 13 2022 6:25:00 AM,14027.01,14034.83,14034.83,14024.59,1420.0
Apr 13 2022 6:30:00 AM,14016.49,14026.78,14026.81,14014.27,1480.0
Apr 13 2022 6:35:00 AM,14019.33,14016.58,14020.95,14010.82,1364.0
Apr 13 2022 6:40:00 AM,14022.33,14019.02,14023.33,14016.52,546.0
Apr 13 2022 6:45:00 AM,14027.06,14022.56,14027.88,14021.52,614.0
Apr 13 2022 6:50:00 AM,14026.79,14026.77,14029.26,14025.28,535.0
Apr 13 2022 6:55:00 AM,14030.22,14026.54,14031.5,14026.29,536.0
Apr 13 2022 7:00:00 AM,14039.83,14030.57,14041.31,14028.31,1201.0
Apr 13 2022 7:05:00 AM,14036.81,14039.56,14040.07,14034.77,572.0
Apr 13 2022 7:10:00 AM,14025.99,14036.77,14037.32,14025.52,754.0
Apr 13 2022 7:15:00 AM,14037.76,14025.5,14037.76,14025.49,793.0
Apr 13 2022 7:20:00 AM,14038.56,14037.76,14044.08,14036.03,826.0
Apr 13 2022 7:25:00 AM,14036.78,14038.04,14038.04,14032.76,717.0
Apr 13 2022 7:30:00 AM,14073.79,14037.06,14074.2,14036.77,3677.0
Apr 13 2022 7:35:00 AM,14076.57,14073.79,14089.5,14064.79,3871.0
Apr 13 2022 7:40:00 AM,14079.08,14076.58,14085.28,14075.77,1768.0
Apr 13 2022 7:45:00 AM,14087.96,14079.03,14090.45,14077.56,1544.0
Apr 13 2022 7:50:00 AM,14095.31,14088.08,14098.0,14085.06,2659.0
Apr 13 2022 7:55:00 AM,14096.04,14095.31,14098.09,14092.01,1512.0
Apr 13 2022 8:00:00 AM,14085.27,14095.54,14098.13,14083.72,2118.0
Apr 13 2022 8:05:00 AM,14068.47,14085.24,14085.24,14067.47,2531.0
Apr 13 2022 8:10:00 AM,14076.98,14068.74,14079.52,14067.98,1426.0
Apr 13 2022 8:15:00 AM,14085.53,14077.03,14085.98,14073.01,1216.0
Apr 13 2022 8:20:00 AM,14071.53,14085.51,14087.03,14070.73,1490.0
Apr 13 2022 8:25:00 AM,14064.76,14071.24,14074.03,14061.97,1914.0
Apr 13 2022 8:30:00 AM,14054.22,14064.74,14068.65,14050.47,2103.0
Apr 13 2022 8:35:00 AM,14047.26,14053.72,14062.22,14045.23,1825.0
Apr 13 2022 8:40:00 AM,14051.24,14047.24,14055.28,14044.77,1210.0
Apr 13 2022 8:45:00 AM,14056.22,14050.78,14060.76,14047.97,1099.0
Apr 13 2022 8:50:00 AM,14050.23,14057.02,14059.79,14050.23,712.0
Apr 13 2022 8:55:00 AM,14055.53,14050.53,14057.97,14045.22,1507.0
Apr 13 2022 9:00:00 AM,14045.26,14056.01,14067.53,14041.97,3884.0
Apr 13 2022 9:05:00 AM,14022.27,14045.03,14052.03,14017.23,4568.0
Apr 13 2022 9:10:00 AM,14028.53,14022.22,14035.76,14017.97,2738.0
Apr 13 2022 9:15:00 AM,14036.74,14028.48,14047.78,14025.22,2896.0
Apr 13 2022 9:20:00 AM,14048.72,14036.52,14062.76,14034.74,3855.0
Apr 13 2022 9:25:00 AM,14049.76,14048.24,14055.28,14041.51,1933.0
Apr 13 2022 9:30:00 AM,14038.74,14049.23,14049.27,14032.23,1659.0
Apr 13 2022 9:35:00 AM,14049.73,14038.72,14056.46,14037.73,2498.0
Apr 13 2022 9:40:00 AM,14060.72,14049.78,14064.23,14046.72,1777.0
Apr 13 2022 9:45:00 AM,14064.28,14060.73,14067.76,14054.73,1888.0
Apr 13 2022 9:50:00 AM,14051.02,14064.01,14066.03,14046.48,1931.0
Apr 13 2022 9:55:00 AM,14044.24,14050.72,14055.99,14037.73,2925.0
Apr 13 2022 10:00:00 AM,14058.22,14043.72,14066.48,14041.26,2761.0
Apr 13 2022 10:05:00 AM,14073.01,14058.49,14076.26,14058.48,2988.0
Apr 13 2022 10:10:00 AM,14060.76,14072.49,14073.03,14055.72,2539.0
Apr 13 2022 10:15:00 AM,14061.15,14060.53,14072.48,14060.22,1601.0
Apr 13 2022 10:20:00 AM,14060.78,14060.73,14063.28,14054.48,1175.0
Apr 13 2022 10:25:00 AM,14048.53,14060.27,14060.27,14044.98,2436.0
Apr 13 2022 10:30:00 AM,14054.01,14047.53,14054.03,14040.27,1718.0
Apr 13 2022 10:35:00 AM,14044.76,14054.03,14054.53,14042.78,1556.0
Apr 13 2022 10:40:00 AM,14069.02,14045.01,14071.03,14045.01,2804.0
Apr 13 2022 10:45:00 AM,14073.51,14069.27,14077.78,14068.48,1861.0
