===============================================================================
Id,ETH-USD,len,datetime,open,high,low,close,volume,openinterest,adjclose,ETH_GTrends,len,datetime,open,high,low,close,volume,openinterest,Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,ETH-USD,ETH_GTrends
19,ETH-USD,19,2018-01-19 23:59:59.999989,1028.82,1093.22,1003.71,1039.1,4084450048.0,0.0,1039.099976,ETH_GTrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,26.0,0.0,0.0,Sentiment,19,736713.9999999999,Broker,19,10000.0,10000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,ETH-USD,20,2018-01-20 23:59:59.999989,1044.95,1167.11,1044.95,1155.15,3975190016.0,0.0,1155.150024,ETH_GTrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,26.0,0.0,0.0,Sentiment,20,736714.9999999999,Broker,20,10000.0,10000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,ETH-USD,21,2018-01-21 23:59:59.999989,1155.68,1155.68,1021.5,1049.58,3378089984.0,0.0,1049.579956,ETH_GTrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,15.0,0.0,0.0,Sentiment,21,736715.9999999999,Broker,21,10000.0,10000.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,ETH-USD,22,2018-01-22 23:59:59.999989,1055.35,1089.1,930.74,1003.26,3810099968.0,0.0,1003.26001,ETH_GTrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,15.0,0.0,0.0,Sentiment,22,736716.9999999999,Broker,22,10000.0,10000.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,ETH-USD,23,2018-01-23 23:59:59.999989,1004.17,1023.23,920.54,986.23,3556699904.0,0.0,986.229004,ETH_GTrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,15.0,0.0,0.0,Sentiment,23,736717.9999999999,Broker,23,10000.0,10000.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,ETH-USD,24,2018-01-24 23:59:59.999989,987.48,1062.44,965.81,1058.78,3944039936.0,0.0,1058.780029,ETH_GTrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,15.0,0.0,0.0,Sentiment,24,736718.9999999999,Broker,24,10000.0,10000.0,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,ETH-USD,25,2018-01-25 23:59:59.999989,1063.22,1104.66,1034.74,1056.03,4050190080.0,0.0,1056.030029,ETH_GTrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,15.0,0.0,0.0,Sentiment,25,736719.9999999999,Broker,25,10000.0,10000.0,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,ETH-USD,26,2018-01-26 23:59:59.999989,1052.7,1080.6,996.78,1055.17,3617690112.0,0.0,1055.170044,ETH_GTrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,15.0,0.0,0.0,Sentiment,26,736720.9999999999,Broker,26,10000.0,10000.0,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,ETH-USD,27,2018-01-27 23:59:59.999989,1055.75,1121.98,1042.12,1107.07,3002870016.0,0.0,1107.069946,ETH_GTrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,15.0,0.0,0.0,Sentiment,27,736721.9999999999,Broker,27,10000.0,10000.0,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,ETH-USD,28,2018-01-28 23:59:59.999989,1111.78,1257.77,1111.78,1246.01,5372329984.0,0.0,1246.01001,ETH_GTrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,Sentiment,28,736722.9999999999,Broker,28,10000.0,10000.0,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,ETH-USD,29,2018-01-29 23:59:59.999989,1246.7,1256.7,1169.08,1182.36,3715079936.0,0.0,1182.359985,ETH_GTrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,Sentiment,29,736723.9999999999,Broker,29,10000.0,10000.0,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,ETH-USD,30,2018-01-30 23:59:59.999989,1184.13,1184.63,1058.97,1071.13,4107859968.0,0.0,1071.130005,ETH_GTrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,Sentiment,30,736724.9999999999,Broker,30,10000.0,10000.0,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,ETH-USD,31,2018-01-31 23:59:59.999989,1071.09,1128.66,1034.5,1118.31,3757560064.0,0.0,1118.310059,ETH_GTrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,Sentiment,31,736725.9999999999,Broker,31,10000.0,10000.0,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,ETH-USD,32,2018-02-01 23:59:59.999989,1119.37,1161.35,984.82,1036.79,5261680128.0,0.0,1036.790039,ETH_GTrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,Sentiment,32,736726.9999999999,Broker,32,10000.0,10000.0,BuySell,32,,,BuySell,32,,,DataTrades,32,,
33,ETH-USD,33,2018-02-02 23:59:59.999989,1035.77,1035.77,757.98,915.78,6713290240.0,0.0,915.784973,ETH_GTrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,Sentiment,33,736727.9999999999,Broker,33,10000.0,10000.0,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,ETH-USD,34,2018-02-03 23:59:59.999989,919.21,991.94,847.69,964.02,3243480064.0,0.0,964.018982,ETH_GTrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,Sentiment,34,736728.9999999999,Broker,34,10000.0,10000.0,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,ETH-USD,35,2018-02-04 23:59:59.999989,964.67,969.03,805.06,834.68,2997090048.0,0.0,834.682007,ETH_GTrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,13.0,0.0,0.0,Sentiment,35,736729.9999999999,Broker,35,10000.0,10000.0,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,ETH-USD,36,2018-02-05 23:59:59.999989,834.96,856.65,644.6,697.95,4269530112.0,0.0,697.950989,ETH_GTrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,13.0,0.0,0.0,Sentiment,36,736730.9999999999,Broker,36,10000.0,10000.0,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,ETH-USD,37,2018-02-06 23:59:59.999989,707.74,796.44,574.42,793.12,6518269952.0,0.0,793.122009,ETH_GTrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,13.0,0.0,0.0,Sentiment,37,736731.9999999999,Broker,37,10000.0,10000.0,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,ETH-USD,38,2018-02-07 23:59:59.999989,790.43,851.2,723.43,757.07,3896179968.0,0.0,757.067993,ETH_GTrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,13.0,0.0,0.0,Sentiment,38,736732.9999999999,Broker,38,10000.0,10000.0,BuySell,38,,,BuySell,38,,,DataTrades,38,,
39,ETH-USD,39,2018-02-08 23:59:59.999989,755.84,845.09,755.84,817.81,3708189952.0,0.0,817.807007,ETH_GTrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,13.0,0.0,0.0,Sentiment,39,736733.9999999999,Broker,39,10000.0,10000.0,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,ETH-USD,40,2018-02-09 23:59:59.999989,818.48,884.0,788.83,883.86,2495820032.0,0.0,883.86499,ETH_GTrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,13.0,0.0,0.0,Sentiment,40,736734.9999999999,Broker,40,10000.0,10000.0,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,ETH-USD,41,2018-02-10 23:59:59.999989,882.47,917.4,825.58,860.41,2930530048.0,0.0,860.414978,ETH_GTrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,13.0,0.0,0.0,Sentiment,41,736735.9999999999,Broker,41,10000.0,10000.0,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,ETH-USD,42,2018-02-11 23:59:59.999989,859.29,859.29,788.22,814.66,2486650112.0,0.0,814.659973,ETH_GTrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,42,736736.9999999999,Broker,42,10000.0,10000.0,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,ETH-USD,43,2018-02-12 23:59:59.999989,817.51,875.94,817.51,868.71,2243450112.0,0.0,868.70697,ETH_GTrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,43,736737.9999999999,Broker,43,10000.0,10000.0,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,ETH-USD,44,2018-02-13 23:59:59.999989,869.29,870.71,828.84,845.26,2081170048.0,0.0,845.257996,ETH_GTrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,44,736738.9999999999,Broker,44,10000.0,10000.0,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,ETH-USD,45,2018-02-14 23:59:59.999989,844.28,926.43,844.28,923.56,2818370048.0,0.0,923.560974,ETH_GTrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,45,736739.9999999999,Broker,45,10000.0,10000.0,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,ETH-USD,46,2018-02-15 23:59:59.999989,923.73,951.95,911.11,936.98,2900100096.0,0.0,936.976013,ETH_GTrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,46,736740.9999999999,Broker,46,10000.0,10000.0,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,ETH-USD,47,2018-02-16 23:59:59.999989,934.79,950.01,917.85,944.21,2369449984.0,0.0,944.210022,ETH_GTrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,47,736741.9999999999,Broker,47,10000.0,10000.0,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,ETH-USD,48,2018-02-17 23:59:59.999989,944.75,976.59,940.75,974.11,2525720064.0,0.0,974.11499,ETH_GTrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,48,736742.9999999999,Broker,48,10000.0,10000.0,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,ETH-USD,49,2018-02-18 23:59:59.999989,973.35,982.93,915.45,923.92,2567290112.0,0.0,923.921021,ETH_GTrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,12.0,0.0,0.0,Sentiment,49,736743.9999999999,Broker,49,10000.0,10000.0,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,ETH-USD,50,2018-02-19 23:59:59.999989,921.67,957.78,921.55,943.86,2169019904.0,0.0,943.86499,ETH_GTrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,12.0,0.0,0.0,Sentiment,50,736744.9999999999,Broker,50,10000.0,10000.0,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,ETH-USD,51,2018-02-20 23:59:59.999989,943.57,965.27,892.95,895.37,2545260032.0,0.0,895.370972,ETH_GTrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,12.0,0.0,0.0,Sentiment,51,736745.9999999999,Broker,51,10000.0,10000.0,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,ETH-USD,52,2018-02-21 23:59:59.999989,894.14,912.38,830.56,849.97,2531729920.0,0.0,849.971008,ETH_GTrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,12.0,0.0,0.0,Sentiment,52,736746.9999999999,Broker,52,10000.0,10000.0,BuySell,52,,,BuySell,52,,,DataTrades,52,,
53,ETH-USD,53,2018-02-22 23:59:59.999989,849.26,875.93,802.67,812.84,2150370048.0,0.0,812.844971,ETH_GTrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,12.0,0.0,0.0,Sentiment,53,736747.9999999999,Broker,53,10000.0,10000.0,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,ETH-USD,54,2018-02-23 23:59:59.999989,811.59,886.32,794.79,864.19,2334820096.0,0.0,864.189026,ETH_GTrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,12.0,0.0,0.0,Sentiment,54,736748.9999999999,Broker,54,10000.0,10000.0,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,ETH-USD,55,2018-02-24 23:59:59.999989,861.59,879.53,818.55,840.52,1926579968.0,0.0,840.515015,ETH_GTrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,12.0,0.0,0.0,Sentiment,55,736749.9999999999,Broker,55,10000.0,10000.0,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,ETH-USD,56,2018-02-25 23:59:59.999989,839.46,853.15,822.38,844.81,1646960000.0,0.0,844.809998,ETH_GTrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,9.0,0.0,0.0,Sentiment,56,736750.9999999999,Broker,56,10000.0,10000.0,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,ETH-USD,57,2018-02-26 23:59:59.999989,845.28,880.39,842.32,869.32,2044480000.0,0.0,869.315002,ETH_GTrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,9.0,0.0,0.0,Sentiment,57,736751.9999999999,Broker,57,10000.0,10000.0,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,ETH-USD,58,2018-02-27 23:59:59.999989,870.36,896.26,867.1,878.27,2053980032.0,0.0,878.265015,ETH_GTrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,9.0,0.0,0.0,Sentiment,58,736752.9999999999,Broker,58,10000.0,10000.0,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,ETH-USD,59,2018-02-28 23:59:59.999989,877.93,890.11,855.12,855.2,1963980032.0,0.0,855.198975,ETH_GTrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,9.0,0.0,0.0,Sentiment,59,736753.9999999999,Broker,59,10000.0,10000.0,BuySell,59,,,BuySell,59,,,DataTrades,59,,
60,ETH-USD,60,2018-03-01 23:59:59.999989,856.01,880.3,851.92,872.2,1868519936.0,0.0,872.200012,ETH_GTrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,9.0,0.0,0.0,Sentiment,60,736754.9999999999,Broker,60,10000.0,10000.0,BuySell,60,,,BuySell,60,,,DataTrades,60,,
61,ETH-USD,61,2018-03-02 23:59:59.999989,871.76,876.38,852.42,856.85,1894419968.0,0.0,856.853027,ETH_GTrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,9.0,0.0,0.0,Sentiment,61,736755.9999999999,Broker,61,10000.0,10000.0,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,ETH-USD,62,2018-03-03 23:59:59.999989,856.71,868.45,855.21,857.22,1699369984.0,0.0,857.224976,ETH_GTrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,9.0,0.0,0.0,Sentiment,62,736756.9999999999,Broker,62,10000.0,10000.0,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,ETH-USD,63,2018-03-04 23:59:59.999989,856.19,867.95,840.28,866.68,1697939968.0,0.0,866.677979,ETH_GTrends,9,2018-03-04 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,63,736757.9999999999,Broker,63,10000.0,10000.0,BuySell,63,,,BuySell,63,,,DataTrades,63,,
64,ETH-USD,64,2018-03-05 23:59:59.999989,866.85,869.92,853.52,853.68,1898489984.0,0.0,853.684021,ETH_GTrends,9,2018-03-04 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,64,736758.9999999999,Broker,64,10000.0,10000.0,BuySell,64,,,BuySell,64,,,DataTrades,64,,
65,ETH-USD,65,2018-03-06 23:59:59.999989,853.82,853.82,809.93,816.95,1943069952.0,0.0,816.950989,ETH_GTrends,9,2018-03-04 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,65,736759.9999999999,Broker,65,10000.0,10000.0,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,ETH-USD,66,2018-03-07 23:59:59.999989,816.27,825.61,726.55,752.83,2175419904.0,0.0,752.830994,ETH_GTrends,9,2018-03-04 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,66,736760.9999999999,Broker,66,10000.0,10000.0,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,ETH-USD,67,2018-03-08 23:59:59.999989,752.57,773.77,696.17,704.6,1891640064.0,0.0,704.596008,ETH_GTrends,9,2018-03-04 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,67,736761.9999999999,Broker,67,10000.0,10000.0,BuySell,67,,,BuySell,67,,,DataTrades,67,,
68,ETH-USD,68,2018-03-09 23:59:59.999989,702.2,729.16,648.11,728.92,2233019904.0,0.0,728.916016,ETH_GTrends,9,2018-03-04 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,68,736762.9999999999,Broker,68,10000.0,10000.0,BuySell,68,,,BuySell,68,,,DataTrades,68,,
69,ETH-USD,69,2018-03-10 23:59:59.999989,730.16,748.03,682.7,686.89,1532960000.0,0.0,686.890015,ETH_GTrends,9,2018-03-04 23:59:59.999989,0.0,0.0,0.0,11.0,0.0,0.0,Sentiment,69,736763.9999999999,Broker,69,10000.0,10000.0,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,ETH-USD,70,2018-03-11 23:59:59.999989,685.31,735.83,668.12,723.34,1562680064.0,0.0,723.338989,ETH_GTrends,10,2018-03-11 23:59:59.999989,0.0,0.0,0.0,7.0,0.0,0.0,Sentiment,70,736764.9999999999,Broker,70,10000.0,10000.0,BuySell,70,,,BuySell,70,,,DataTrades,70,,
71,ETH-USD,71,2018-03-12 23:59:59.999989,724.41,742.51,683.27,699.83,1764999936.0,0.0,699.830994,ETH_GTrends,10,2018-03-11 23:59:59.999989,0.0,0.0,0.0,7.0,0.0,0.0,Sentiment,71,736765.9999999999,Broker,71,82368.559,12385.558999999994,BuySell,71,,753.6476499999999,BuySell,71,,,DataTrades,71,,
72,ETH-USD,72,2018-03-13 23:59:59.999989,698.15,713.73,682.35,690.83,1425959936.0,0.0,690.827026,ETH_GTrends,10,2018-03-11 23:59:59.999989,0.0,0.0,0.0,7.0,0.0,0.0,Sentiment,72,736766.9999999999,Broker,72,12483.743999999993,12483.743999999993,BuySell,72,672.11475,,BuySell,72,,,DataTrades,72,2625.999999999999,
73,ETH-USD,73,2018-03-14 23:59:59.999989,691.22,702.78,594.1,614.29,1810560000.0,0.0,614.291016,ETH_GTrends,10,2018-03-11 23:59:59.999989,0.0,0.0,0.0,7.0,0.0,0.0,Sentiment,73,736767.9999999999,Broker,73,81536.62199999999,20107.62199999999,BuySell,73,,713.3216999999999,BuySell,73,,,DataTrades,73,,
74,ETH-USD,74,2018-03-15 23:59:59.999989,614.84,620.62,579.51,611.3,1770460032.0,0.0,611.304016,ETH_GTrends,10,2018-03-11 23:59:59.999989,0.0,0.0,0.0,7.0,0.0,0.0,Sentiment,74,736768.9999999999,Broker,74,19991.137999999988,19991.137999999988,BuySell,74,570.81735,,BuySell,74,,,DataTrades,74,7638.0,
75,ETH-USD,75,2018-03-16 23:59:59.999989,611.78,623.17,587.86,601.67,1417350016.0,0.0,601.666016,ETH_GTrends,10,2018-03-11 23:59:59.999989,0.0,0.0,0.0,7.0,0.0,0.0,Sentiment,75,736769.9999999999,Broker,75,81107.95999999999,20940.96,BuySell,75,,632.5175499999999,BuySell,75,,,DataTrades,75,,
76,ETH-USD,76,2018-03-17 23:59:59.999989,601.68,609.15,549.1,552.78,1267810048.0,0.0,552.778992,ETH_GTrends,10,2018-03-11 23:59:59.999989,0.0,0.0,0.0,7.0,0.0,0.0,Sentiment,76,736770.9999999999,Broker,76,20879.79199999999,20879.79199999999,BuySell,76,540.8635,,BuySell,76,,,DataTrades,76,1010.0000000000023,
77,ETH-USD,77,2018-03-18 23:59:59.999989,551.64,551.64,460.09,538.64,2685499904.0,0.0,538.643982,ETH_GTrends,11,2018-03-18 23:59:59.999989,0.0,0.0,0.0,8.0,0.0,0.0,Sentiment,77,736771.9999999999,Broker,77,75988.62799999998,22124.627999999982,BuySell,77,,559.9146,BuySell,77,,,DataTrades,77,,
78,ETH-USD,78,2018-03-19 23:59:59.999989,546.63,558.1,519.12,556.73,2046790016.0,0.0,556.726013,ETH_GTrends,11,2018-03-18 23:59:59.999989,0.0,0.0,0.0,8.0,0.0,0.0,Sentiment,78,736772.9999999999,Broker,78,21270.964999999982,21270.964999999982,BuySell,78,511.3332,,BuySell,78,,,DataTrades,78,500.9999999999991,
79,ETH-USD,79,2018-03-20 23:59:59.999989,556.72,567.09,521.2,557.17,1833680000.0,0.0,557.174988,ETH_GTrends,11,2018-03-18 23:59:59.999989,0.0,0.0,0.0,8.0,0.0,0.0,Sentiment,79,736773.9999999999,Broker,79,21270.964999999982,21270.964999999982,BuySell,79,,,BuySell,79,,,DataTrades,79,,
80,ETH-USD,80,2018-03-21 23:59:59.999989,559.1,589.61,550.57,561.73,1781270016.0,0.0,561.731995,ETH_GTrends,11,2018-03-18 23:59:59.999989,0.0,0.0,0.0,8.0,0.0,0.0,Sentiment,80,736774.9999999999,Broker,80,21270.964999999982,21270.964999999982,BuySell,80,,,BuySell,80,,,DataTrades,80,,
